,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,randomPosterior,randomPosterior,curr,0.6224584893624359,1.2843140429587379,1.2843140429587379,0.9280431989058522,chebyshev
1,0,chebyshev,10,randomPosterior,randomPosterior,exp,0.6224584893624359,1.2843140429587379,1.2843140429587379,0.9280431989058522,chebyshev
2,1,chebyshev,10,randomPosterior,randomPosterior,curr,0.5826096357417292,1.2661126867658477,1.2661126867658477,0.8412490646436697,chebyshev
3,1,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7904313052483247,chebyshev
4,2,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
5,2,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7958031996927235,chebyshev
6,3,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
7,3,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7890023787900893,chebyshev
8,4,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
9,4,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.79049906105281,chebyshev
10,5,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
11,5,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.786876397425152,chebyshev
12,6,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
13,6,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.8026420522077589,chebyshev
14,7,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
15,7,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7844041323438455,chebyshev
16,8,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
17,8,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7804425203319469,chebyshev
18,9,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
19,9,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7848131941643559,chebyshev
20,10,chebyshev,10,randomPosterior,randomPosterior,curr,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.6398475007175985,chebyshev
21,10,chebyshev,10,randomPosterior,randomPosterior,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7920831893032053,chebyshev
22,0,chebyshev,10,random,random,curr,0.6224584893624359,1.2843140429587379,1.2843140429587379,0.9280431989058522,chebyshev
23,0,chebyshev,10,random,random,exp,0.6224584893624359,1.2843140429587379,1.2843140429587379,0.9280431989058522,chebyshev
24,1,chebyshev,10,random,random,curr,0.5442854086656417,1.2486077187567652,1.2486077187567652,0.8917247028017329,chebyshev
25,1,chebyshev,10,random,random,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.8016831923211143,chebyshev
26,2,chebyshev,10,random,random,curr,0.5442854086656417,1.2486077187567652,1.2486077187567652,0.8917247028017329,chebyshev
27,2,chebyshev,10,random,random,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.8005291720473136,chebyshev
28,3,chebyshev,10,random,random,curr,0.5442854086656417,1.2486077187567652,1.2486077187567652,0.8917247028017329,chebyshev
29,3,chebyshev,10,random,random,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.8130489653491433,chebyshev
30,4,chebyshev,10,random,random,curr,0.5442854086656417,1.2486077187567652,1.2486077187567652,0.8917247028017329,chebyshev
31,4,chebyshev,10,random,random,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.8085674443594877,chebyshev
32,5,chebyshev,10,random,random,curr,0.5293489414213908,1.2417853402973063,1.2417853402973063,0.557944643462067,chebyshev
33,5,chebyshev,10,random,random,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.807660645309836,chebyshev
34,6,chebyshev,10,random,random,curr,0.5293489414213908,1.2417853402973063,1.2417853402973063,0.557944643462067,chebyshev
35,6,chebyshev,10,random,random,exp,0.3458705241636313,1.1579797669173764,1.1579797669173764,0.7959987809318629,chebyshev
36,7,chebyshev,10,random,random,curr,0.5293489414213908,1.2417853402973063,1.2417853402973063,0.557944643462067,chebyshev
