,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,randomPosterior,randomPosterior,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
1,0,chebyshev,10,randomPosterior,randomPosterior,exp,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
2,1,chebyshev,10,randomPosterior,randomPosterior,curr,0.12674630259920505,1.0531439073851567,1.0531439073851567,0.9227732717040258,chebyshev
3,1,chebyshev,10,randomPosterior,randomPosterior,exp,1.8312538053559857,1.7678329121623209,1.7678329121623209,0.9118417942883809,chebyshev
4,2,chebyshev,10,randomPosterior,randomPosterior,curr,0.12674630259920505,1.0531439073851567,1.0531439073851567,0.9227732717040258,chebyshev
5,2,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9562917466665692,chebyshev
6,3,chebyshev,10,randomPosterior,randomPosterior,curr,0.12674630259920505,1.0531439073851567,1.0531439073851567,0.9227732717040258,chebyshev
7,3,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9693971621869446,chebyshev
8,4,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
9,4,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9768878109205337,chebyshev
10,5,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
11,5,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9750126034549984,chebyshev
12,6,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
13,6,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9798657175770014,chebyshev
14,7,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
15,7,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9764211544865713,chebyshev
16,8,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
17,8,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9738833059414214,chebyshev
18,9,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
19,9,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9754779935168342,chebyshev
20,10,chebyshev,10,randomPosterior,randomPosterior,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
21,10,chebyshev,10,randomPosterior,randomPosterior,exp,0.0,1.0,1.0,0.9785566153173113,chebyshev
22,0,chebyshev,10,random,random,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
23,0,chebyshev,10,random,random,exp,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
24,1,chebyshev,10,random,random,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
25,1,chebyshev,10,random,random,exp,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9038425726721093,chebyshev
26,2,chebyshev,10,random,random,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
27,2,chebyshev,10,random,random,exp,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.7302509570987775,chebyshev
28,3,chebyshev,10,random,random,curr,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
29,3,chebyshev,10,random,random,exp,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
30,4,chebyshev,10,random,random,curr,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
31,4,chebyshev,10,random,random,exp,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
32,5,chebyshev,10,random,random,curr,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
33,5,chebyshev,10,random,random,exp,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
34,6,chebyshev,10,random,random,curr,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
35,6,chebyshev,10,random,random,exp,0.06452936941919551,1.0270567484945143,1.0270567484945143,0.9445780538003703,chebyshev
36,7,chebyshev,10,random,random,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
37,7,chebyshev,10,random,random,exp,0.0,1.0,1.0,0.9511797687491926,chebyshev
38,8,chebyshev,10,random,random,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
39,8,chebyshev,10,random,random,exp,0.0,1.0,1.0,0.9511797687491926,chebyshev
40,9,chebyshev,10,random,random,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
41,9,chebyshev,10,random,random,exp,0.0,1.0,1.0,0.9511797687491926,chebyshev
42,10,chebyshev,10,random,random,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
43,10,chebyshev,10,random,random,exp,0.0,1.0,1.0,0.9511797687491926,chebyshev
44,0,chebyshev,10,maxregret,maxregret,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
45,0,chebyshev,10,maxregret,maxregret,exp,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
46,1,chebyshev,10,maxregret,maxregret,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
47,1,chebyshev,10,maxregret,maxregret,exp,0.08898308788477438,1.0373100349628928,1.0373100349628928,0.8925025045601841,chebyshev
48,2,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
49,2,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9713190572143477,chebyshev
50,3,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
51,3,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9695711450389528,chebyshev
52,4,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
53,4,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9722938225297677,chebyshev
54,5,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
55,5,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.975304671942521,chebyshev
56,6,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
57,6,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9725571489038414,chebyshev
58,7,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
59,7,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9706763671646825,chebyshev
60,8,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
61,8,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.971811085965019,chebyshev
62,9,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
63,9,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9759580395669556,chebyshev
64,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9511797687491926,chebyshev
65,10,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9657833279838157,chebyshev
66,0,linear,10,randomPosterior,randomPosterior,curr,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
67,0,linear,10,randomPosterior,randomPosterior,exp,0.33176630430321863,1.1391074720748229,1.1391074720748229,0.8177913859489685,chebyshev
68,1,linear,10,randomPosterior,randomPosterior,curr,0.2066068150945255,1.0866289053121028,1.0866289053121028,0.8831543273326525,chebyshev
69,1,linear,10,randomPosterior,randomPosterior,exp,0.1140088685065539,1.0478031834045534,1.0478031834045534,0.9831119875101589,chebyshev
70,2,linear,10,randomPosterior,randomPosterior,curr,0.2066068150945255,1.0866289053121028,1.0866289053121028,0.8831543273326525,chebyshev
71,2,linear,10,randomPosterior,randomPosterior,exp,0.10142251646273204,1.0425258071528059,1.0425258071528059,0.9870619041748241,chebyshev
