,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
1,0,chebyshev,10,maxregret,maxregret,exp,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
2,1,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
3,1,chebyshev,10,maxregret,maxregret,exp,0.07166310233906503,1.128404752520407,1.128404752520407,0.9974699432686585,chebyshev
4,2,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
5,2,chebyshev,10,maxregret,maxregret,exp,0.005572952207740234,1.0099855228937369,1.0099855228937369,0.9996095818264434,chebyshev
6,3,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
7,3,chebyshev,10,maxregret,maxregret,exp,0.005572952207740234,1.0099855228937369,1.0099855228937369,0.9999647543575041,chebyshev
8,4,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
9,4,chebyshev,10,maxregret,maxregret,exp,0.005740781275744955,1.010286236220951,1.010286236220951,0.9993737792209425,chebyshev
10,5,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
11,5,chebyshev,10,maxregret,maxregret,exp,0.01152008588114628,1.0206414979019973,1.0206414979019973,0.9981860943301251,chebyshev
12,6,chebyshev,10,maxregret,maxregret,curr,0.24011677590316005,1.4302372375670385,1.4302372375670385,0.9761106964389836,chebyshev
13,6,chebyshev,10,maxregret,maxregret,exp,0.01733856982311155,1.031066960465383,1.031066960465383,0.9954852646422178,chebyshev
14,7,chebyshev,10,maxregret,maxregret,curr,0.04704324272864535,1.0842912983553086,1.0842912983553086,0.888814647497734,chebyshev
15,7,chebyshev,10,maxregret,maxregret,exp,0.03503599356239473,1.0627769093975366,1.0627769093975366,0.9777764326884797,chebyshev
16,8,chebyshev,10,maxregret,maxregret,curr,0.04704324272864535,1.0842912983553086,1.0842912983553086,0.888814647497734,chebyshev
17,8,chebyshev,10,maxregret,maxregret,exp,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.968575275822528,chebyshev
18,9,chebyshev,10,maxregret,maxregret,curr,0.03852653301954456,1.0690311998277418,1.0690311998277418,0.9992670179065253,chebyshev
19,9,chebyshev,10,maxregret,maxregret,exp,0.005572952207740234,1.0099855228937369,1.0099855228937369,0.9997832393576571,chebyshev
20,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
21,10,chebyshev,10,maxregret,maxregret,exp,0.005572952207740234,1.0099855228937369,1.0099855228937369,0.9999348246027375,chebyshev
22,0,linear,10,maxregret,maxregret,curr,0.04704324272864535,1.0842912983553086,1.0842912983553086,0.9761106964389836,chebyshev
23,0,linear,10,maxregret,maxregret,exp,0.04704324272864535,1.0842912983553086,1.0842912983553086,0.9761106964389836,chebyshev
24,1,linear,10,maxregret,maxregret,curr,0.04704324272864535,1.0842912983553086,1.0842912983553086,0.9761106964389836,chebyshev
25,1,linear,10,maxregret,maxregret,exp,0.04704324272864535,1.0842912983553086,1.0842912983553086,0.9994814834975589,chebyshev
26,2,linear,10,maxregret,maxregret,curr,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8974016199524419,chebyshev
27,2,linear,10,maxregret,maxregret,exp,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8771893786354956,chebyshev
28,3,linear,10,maxregret,maxregret,curr,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8974016199524419,chebyshev
29,3,linear,10,maxregret,maxregret,exp,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8974016199524419,chebyshev
30,4,linear,10,maxregret,maxregret,curr,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8974016199524419,chebyshev
31,4,linear,10,maxregret,maxregret,exp,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8974016199524419,chebyshev
32,5,linear,10,maxregret,maxregret,curr,0.04101821149751461,1.0734957478012639,1.0734957478012639,0.8974016199524419,chebyshev
